,naive_TH,CD137pos_CD154neg_naive_TH,CD137neg_CD154pos_naive_TH,CD137pos_CD154pos_naive_TH,memory_TH,CD137pos_CD154neg_memory_TH,CD137neg_CD154pos_memory_TH,CD137pos_CD154pos_memory_TH,naive_TFH,CD137pos_CD154neg_naive_TFH,CD137neg_CD154pos_naive_TFH,CD137pos_CD154pos_naive_TFH,memory_TFH,CD137pos_CD154neg_memory_TFH,CD137neg_CD154pos_memory_TFH,CD137pos_CD154pos_memory_TFH,CD45RApos_Treg,CD137pos_CD154neg_CD45RApos_Treg,CD137neg_CD154pos_CD45RApos_Treg,CD137pos_CD154pos_CD45RApos_Treg,CD45RAneg_Treg,CD137pos_CD154neg_CD45RAneg_Treg,CD137neg_CD154pos_CD45RAneg_Treg,CD137pos_CD154pos_CD45RAneg_Treg,CD45RApos_TFR,CD137pos_CD154neg_CD45RApos_TFR,CD137neg_CD154pos_CD45RApos_TFR,CD137pos_CD154pos_CD45RApos_TFR,CD45RAneg_TFR,CD137pos_CD154neg_CD45RAneg_TFR,CD137neg_CD154pos_CD45RAneg_TFR,CD137pos_CD154pos_CD45RAneg_TFR
H33_PC_Time_Point_60_CD4 T cells.fcs,107030,222,87972,229,62258,515,40397,1164,10359,27,8242,62,25508,302,13641,313,11420,6,8804,3,18550,52,8100,1,3445,0,2397,1,6718,3,3007,0
H33_HBsAg_Time_Point_60_CD4 T cells.fcs,249912,180,121,8,184211,99,132,30,16025,18,9,4,43408,55,18,6,9388,8,21,4,17976,36,40,0,1187,2,3,0,1735,2,11,0
H34_NC_Time_Point_60_CD4 T cells.fcs,260884,123,127,3,83086,40,40,3,12477,5,5,1,11404,4,4,2,10666,4,4,1,11030,4,5,1,747,0,0,0,159,0,0,0
H34_HBsAg_Time_Point_60_CD4 T cells.fcs,276925,308,186,16,87046,77,123,14,13188,8,17,2,10719,3,9,2,12016,21,15,3,11316,44,17,1,812,4,1,0,184,0,1,0
H35_NC_Time_Point_60_CD4 T cells.fcs,372491,171,171,15,161710,79,80,1,8751,4,4,0,28263,15,14,0,10057,4,4,1,22443,12,11,0,902,0,0,0,889,0,0,0
H35_HBsAg_Time_Point_60_CD4 T cells.fcs,4.48E+05,423,245,45,197298,491,215,79,14099,15,14,2,37084,30,39,14,12530,67,35,34,26259,93,145,43,1242,21,3,5,1289,13,8,8
H36_NC_Time_Point_60_CD4 T cells.fcs,279298,132,128,7,80280,38,39,3,7583,5,4,0,15423,7,8,0,15250,8,8,0,11440,6,6,0,326,0,0,0,200,0,0,0
H36_HBsAg_Time_Point_60_CD4 T cells.fcs,250634,188,112,4,61303,30,53,5,5536,15,8,0,10963,16,4,2,12406,18,11,1,7798,47,8,0,360,3,0,0,144,0,1,0
H38_NC_Time_Point_60_CD4 T cells.fcs,284553,143,138,5,126225,58,52,9,9418,5,5,0,35350,16,17,1,7596,4,3,0,7728,4,3,0,604,0,0,0,370,0,0,0
H38_HBsAg_Time_Point_60_CD4 T cells.fcs,208210,187,99,2,93000,60,95,8,8061,11,10,1,24195,26,10,7,5615,30,4,2,5455,11,4,0,537,5,1,2,265,0,0,0
H39_NC_Time_Point_60_CD4 T cells.fcs,292743,131,141,11,100636,41,47,4,5483,3,3,0,7364,4,3,0,7708,3,3,1,12404,6,6,0,529,0,0,0,135,0,0,0
H39_HBsAg_Time_Point_60_CD4 T cells.fcs,360917,224,182,22,124490,81,139,40,9459,7,9,1,12240,11,14,5,9587,37,9,8,15110,47,30,7,585,4,0,0,225,2,2,0
H40_NC_Time_Point_60_CD4 T cells.fcs,190631,82,83,12,77861,31,31,7,2957,1,1,0,9983,5,5,0,8240,4,3,0,7570,4,3,0,158,0,0,0,187,0,0,0
H40_HBsAg_Time_Point_60_CD4 T cells.fcs,245549,338,179,40,107583,198,137,47,4030,8,9,3,12753,23,13,14,10593,79,34,28,9912,50,126,43,313,6,3,3,335,0,3,2
H41_NC_Time_Point_60_CD4 T cells.fcs,218471,109,101,6,66959,31,30,3,3713,2,2,0,6268,3,3,0,9729,5,4,0,10313,5,5,0,405,0,0,0,159,0,0,0
H41_HBsAg_Time_Point_60_CD4 T cells.fcs,174356,112,54,6,55132,21,26,5,2848,2,3,0,4758,3,3,0,7542,4,3,0,8375,9,11,3,268,2,0,0,111,3,1,0
H42_NC_Time_Point_60_CD4 T cells.fcs,130669,59,63,3,97605,40,41,7,4314,2,2,0,19918,10,10,0,5677,3,3,0,8395,4,4,0,392,0,0,0,332,0,0,0
H42_HBsAg_Time_Point_60_CD4 T cells.fcs,141201,131,41,4,109849,59,68,11,4908,12,2,0,21353,11,16,1,6309,12,4,0,8920,0,17,0,572,2,2,0,426,1,3,0
H02_NC_Time_Point_180_CD4 T cells.fcs,307885,131,137,22,149246,70,67,8,8129,3,3,1,41203,19,19,1,16718,7,7,1,14807,7,8,0,1616,1,1,0,889,0,0,0
H02_PC_Time_Point_180_CD4 T cells.fcs,185713,440,156782,996,74436,561,35154,401,6087,26,4793,34,25963,92,21675,169,25679,45,18507,10,19087,6,4728,0,4028,7,2645,7,8486,3,6476,0
H02_HBsAg_Time_Point_180_CD4 T cells.fcs,339260,141,126,22,161188,63,96,18,8399,10,1,0,39636,24,17,10,17743,15,14,0,15366,13,27,0,1437,2,1,0,836,3,4,1
H03_NC_Time_Point_180_CD4 T cells.fcs,184907,85,92,3,170835,90,84,2,9130,5,5,0,32483,16,14,1,7424,4,4,0,22050,10,11,0,1219,1,1,0,959,0,0,0
H03_HBsAg_Time_Point_180_CD4 T cells.fcs,216237,122,96,5,205310,136,92,5,9813,8,4,0,36555,16,13,1,8694,5,13,1,25984,13,6,1,1198,1,1,0,1080,1,1,0
H04_NC_Time_Point_180_CD4 T cells.fcs,43185,25,21,0,65936,34,33,0,2728,2,1,0,8756,4,4,0,1526,1,1,0,5152,3,3,0,347,0,0,0,172,0,0,0
H04_HBsAg_Time_Point_180_CD4 T cells.fcs,43109,74,29,0,68151,44,30,0,2406,2,2,0,9621,9,5,0,1531,3,2,0,5194,1,9,0,335,0,3,0,173,0,2,0
H06_NC_Time_Point_180_CD4 T cells.fcs,142845,64,64,7,145226,65,61,10,6800,2,3,1,23042,11,12,0,4223,2,2,0,10540,5,5,0,386,0,0,0,313,0,0,0
H06_HBsAg_Time_Point_180_CD4 T cells.fcs,141620,101,46,7,144700,70,118,9,6807,10,4,1,23109,23,12,3,4693,28,8,2,10593,0,4,0,454,5,1,1,401,4,0,0
H07_NC_Time_Point_180_CD4 T cells.fcs,216445,96,96,13,232365,110,104,12,10461,3,4,2,42247,18,17,3,8101,4,4,0,14077,6,6,0,1129,1,1,0,1131,0,0,0
H07_HBsAg_Time_Point_180_CD4 T cells.fcs,184659,146,68,12,203566,112,100,8,8817,11,4,0,32589,25,17,3,6620,10,3,1,11347,10,6,0,955,6,0,0,777,1,1,0
H08_NC_Time_Point_180_CD4 T cells.fcs,267868,131,130,3,142565,66,67,4,5777,3,3,0,13813,7,7,0,10733,0,0,0,18336,8,8,1,359,0,0,0,272,0,0,0
H08_HBsAg_Time_Point_180_CD4 T cells.fcs,282572,221,88,6,149209,74,105,11,6040,6,20,1,15650,12,7,3,10974,1,5,0,18898,10,12,1,441,1,0,0,366,0,0,0
H10_NC_Time_Point_180_CD4 T cells.fcs,4.02E+05,186,214,11,95716,40,40,7,7052,4,4,0,15642,8,8,0,11615,6,6,0,12249,5,4,1,724,0,0,0,369,0,0,0
H10_HBsAg_Time_Point_180_CD4 T cells.fcs,4.13E+05,284,233,14,101276,50,101,10,6775,11,2,1,17204,12,14,2,12021,14,8,2,12492,11,16,0,768,4,0,0,432,5,2,1
H11_NC_Time_Point_180_CD4 T cells.fcs,207283,99,96,6,134717,59,60,6,5947,3,3,0,15757,7,7,1,9191,5,5,0,13206,7,7,0,678,0,0,0,366,0,0,0
H11_HBsAg_Time_Point_180_CD4 T cells.fcs,311392,168,127,6,206744,133,101,4,8419,11,2,0,25703,21,8,2,14010,7,8,1,19833,29,7,2,1153,0,2,0,657,8,1,0
H13_NC_Time_Point_180_CD4 T cells.fcs,355276,166,164,7,157621,74,75,4,18180,9,9,0,36058,17,18,1,17816,8,8,1,21789,6,6,4,1324,1,1,0,829,0,0,0
H13_HBsAg_Time_Point_180_CD4 T cells.fcs,393941,313,235,12,182934,215,234,23,19181,26,11,0,41781,41,26,4,18540,73,16,5,22858,48,40,2,1231,5,0,1,798,0,2,0
H14_NC_Time_Point_180_CD4 T cells.fcs,288036,139,138,7,53837,23,22,3,5909,2,2,1,6644,2,2,1,7845,3,4,0,9805,3,3,2,284,0,0,0,138,0,0,0
H14_HBsAg_Time_Point_180_CD4 T cells.fcs,308030,193,141,12,58715,35,59,3,5876,3,3,0,6918,1,7,1,8445,6,10,2,10188,8,10,2,300,0,6,3,139,2,3,2
H17_NC_Time_Point_180_CD4 T cells.fcs,239501,123,118,1,125963,58,62,3,7027,4,3,0,22130,11,11,1,12271,5,5,1,12876,6,6,0,1265,1,1,0,642,0,0,0
H17_HBsAg_Time_Point_180_CD4 T cells.fcs,276069,220,115,5,148431,104,91,8,8053,0,8,2,24205,5,22,2,14226,17,9,1,14181,18,15,1,1338,2,1,0,716,0,3,0
H18_NC_Time_Point_180_CD4 T cells.fcs,38004,20,19,0,13600,6,7,0,660,1,1,0,1505,1,1,0,451,0,0,0,985,0,0,0,62,0,0,0,30,0,0,0
H18_HBsAg_Time_Point_180_CD4 T cells.fcs,95619,97,60,0,39010,14,26,0,1731,3,7,0,4374,3,6,0,1246,5,0,0,2462,2,5,0,155,0,0,0,121,3,0,0
H19_NC_Time_Point_180_CD4 T cells.fcs,161257,77,80,4,117960,54,60,1,5142,3,3,0,21008,9,9,2,7166,4,4,0,13874,7,7,0,960,0,0,0,762,0,0,0
H19_HBsAg_Time_Point_180_CD4 T cells.fcs,195898,139,90,7,147737,67,162,9,5841,14,6,0,24324,8,62,3,8707,7,9,1,15571,27,13,1,1322,5,14,0,962,2,3,0
H20_NC_Time_Point_180_CD4 T cells.fcs,336373,170,160,9,145905,63,70,4,12900,5,5,1,42969,21,19,1,11329,5,5,1,14982,8,7,0,2077,1,1,0,1218,1,1,0
H20_HBsAg_Time_Point_180_CD4 T cells.fcs,309433,1127,149,9,137669,98,200,3,11434,64,19,0,38624,28,23,2,10001,22,6,0,12835,18,44,1,1897,12,13,0,1039,13,1,0
H21_NC_Time_Point_180_CD4 T cells.fcs,356401,168,173,4,164862,88,81,1,8677,5,5,0,24212,12,12,0,10194,5,5,0,14253,8,7,0,670,0,0,0,379,0,0,0
H21_HBsAg_Time_Point_180_CD4 T cells.fcs,356002,293,139,7,166412,101,88,6,8796,5,5,0,24665,14,17,0,9171,7,10,1,13309,12,3,0,598,3,0,0,301,2,0,0
H22_NC_Time_Point_180_CD4 T cells.fcs,116513,56,57,3,15046,8,8,0,880,1,1,0,1810,1,1,0,1655,1,1,0,1268,1,1,0,34,0,0,0,25,0,0,0
H22_HBsAg_Time_Point_180_CD4 T cells.fcs,29156,8,27,1,5578,0,2,0,64,0,0,0,387,0,1,0,322,0,3,0,394,2,0,0,2,0,0,0,10,0,0,0
H23_NC_Time_Point_180_CD4 T cells.fcs,186749,92,95,1,73961,37,35,3,3568,2,2,0,15621,8,8,0,8261,4,4,0,8461,3,4,0,1105,1,1,0,484,0,0,0
H23_HBsAg_Time_Point_180_CD4 T cells.fcs,176530,90,129,7,66089,31,80,3,3761,10,7,0,14019,11,13,0,8196,10,3,0,7602,13,11,1,1138,10,6,0,537,7,0,0
H24_NC_Time_Point_180_CD4 T cells.fcs,149235,75,73,2,112527,54,55,3,8177,4,4,0,24039,10,10,2,4333,2,2,0,8300,4,4,0,638,0,0,0,260,0,0,0
H24_HBsAg_Time_Point_180_CD4 T cells.fcs,203468,224,126,4,163944,65,309,10,11131,9,9,0,36529,20,31,0,5826,22,2,1,11138,13,14,0,835,2,7,1,369,1,5,0
H25_NC_Time_Point_180_CD4 T cells.fcs,223941,110,106,2,92027,44,45,1,4695,2,3,0,17676,9,8,0,15125,7,7,1,13273,5,7,0,850,0,0,0,865,0,0,0
H25_HBsAg_Time_Point_180_CD4 T cells.fcs,228508,204,148,0,89523,50,46,3,5769,12,2,0,18024,16,8,0,15834,22,10,0,12589,1,6,0,1136,3,0,0,953,1,1,0
H26_NC_Time_Point_180_CD4 T cells.fcs,210523,100,101,3,159904,71,66,13,7256,4,4,0,19298,10,10,0,6503,3,3,0,18097,9,8,0,1149,0,1,0,652,0,0,0
H26_HBsAg_Time_Point_180_CD4 T cells.fcs,207913,184,120,5,163022,83,62,5,7978,10,11,2,20338,6,7,1,6327,4,5,0,17175,8,9,0,1189,0,1,0,661,1,2,0
H28_NC_Time_Point_180_CD4 T cells.fcs,162345,77,81,1,89397,47,45,1,5370,3,3,0,20214,9,10,1,4272,2,2,0,8034,4,4,0,806,0,0,0,734,0,0,0
H28_HBsAg_Time_Point_180_CD4 T cells.fcs,156400,97,70,5,84821,72,164,16,5038,4,4,0,19427,10,19,1,3903,12,10,0,6752,39,56,2,700,5,0,0,548,1,8,0
H29_NC_Time_Point_180_CD4 T cells.fcs,136874,59,58,9,125487,55,57,2,5609,3,3,0,26349,13,11,1,4938,2,2,0,16269,8,8,0,810,0,0,0,452,0,0,0
H29_HBsAg_Time_Point_180_CD4 T cells.fcs,167901,101,68,7,157199,111,158,4,6621,4,8,0,32328,18,35,4,6312,3,11,0,19394,39,22,1,1055,11,2,0,529,0,0,0
H30_NC_Time_Point_180_CD4 T cells.fcs,170320,81,76,8,167583,83,72,6,5717,3,2,0,25470,14,13,0,2911,1,1,0,13699,6,7,0,314,0,0,0,376,0,0,0
H30_PC_Time_Point_180_CD4 T cells.fcs,85925,47,76617,468,73172,253,61694,1204,1812,4,1590,29,14413,37,13248,202,3880,4,2695,2,9333,72,2907,0,437,0,253,0,1783,0,1026,0
H30_HBsAg_Time_Point_180_CD4 T cells.fcs,181823,120,77,5,170679,71,100,5,6384,13,3,0,26221,18,29,0,3116,4,1,0,13496,6,5,0,378,0,1,0,468,0,3,0
H31_NC_Time_Point_180_CD4 T cells.fcs,306858,142,140,12,153263,71,68,6,7573,4,4,0,22202,11,11,0,11785,6,6,0,13089,5,6,1,461,0,0,0,363,0,0,0
H31_HBsAg_Time_Point_180_CD4 T cells.fcs,227245,153,109,6,105977,75,76,7,5431,6,4,0,14438,8,7,3,8929,8,7,5,8864,5,37,3,347,0,4,0,202,0,2,0
H32_NC_Time_Point_180_CD4 T cells.fcs,58876,27,27,1,243403,110,110,13,4085,2,2,0,64606,24,25,8,1986,1,1,0,11126,5,5,1,469,0,0,0,896,0,0,0
H32_HBsAg_Time_Point_180_CD4 T cells.fcs,54584,64,12,6,220893,209,265,66,4465,4,4,0,61126,68,39,16,1917,4,6,3,10033,43,18,1,495,7,5,0,828,3,0,0
H33_NC_Time_Point_180_CD4 T cells.fcs,299562,150,147,8,259311,107,115,18,14942,7,6,1,66660,31,27,4,12397,6,6,0,31009,15,14,0,1620,1,1,0,2978,2,2,0
H33_HBsAg_Time_Point_180_CD4 T cells.fcs,256941,170,110,12,212221,113,137,21,16850,17,14,2,58721,40,25,4,10480,12,11,2,25229,12,22,0,1742,4,4,1,2707,3,6,0
H34_NC_Time_Point_180_CD4 T cells.fcs,298405,145,142,7,60304,26,27,3,11927,6,6,0,7622,4,4,0,9999,5,4,0,8541,4,5,0,630,0,0,0,123,0,0,0
H34_PC_Time_Point_180_CD4 T cells.fcs,95517,341,82153,2156,12344,85,8323,171,2294,44,1829,130,1942,15,1501,40,3642,103,2184,38,2692,108,1572,4,279,0,186,0,171,0,99,0
H34_HBsAg_Time_Point_180_CD4 T cells.fcs,371144,314,161,13,76994,50,45,7,14639,17,10,3,9301,8,8,0,12805,50,14,4,10303,17,11,3,961,9,5,0,180,0,2,0
H35_NC_Time_Point_180_CD4 T cells.fcs,360185,162,167,13,132762,66,65,1,9537,5,5,0,29547,13,13,2,9270,2,3,2,20776,10,10,0,1093,1,1,0,1006,1,1,0
H35_HBsAg_Time_Point_180_CD4 T cells.fcs,347054,461,153,31,130987,128,135,7,11516,20,3,1,25857,22,16,2,9517,39,12,14,18556,64,56,10,919,11,7,3,871,7,5,4
H36_NC_Time_Point_180_CD4 T cells.fcs,285670,139,138,7,64623,30,32,2,5612,3,3,0,11189,6,6,0,12815,5,6,1,9035,5,5,0,331,0,0,0,152,0,0,0
H36_HBsAg_Time_Point_180_CD4 T cells.fcs,308302,266,164,14,71937,43,34,5,8609,10,4,0,13266,0,13,1,13681,24,2,1,9400,16,7,1,502,2,1,0,203,3,1,1
H38_NC_Time_Point_180_CD4 T cells.fcs,139417,64,68,5,79973,32,32,7,4674,2,2,0,19941,7,6,3,2117,1,1,0,3599,2,2,0,186,0,0,0,217,0,0,0
H38_HBsAg_Time_Point_180_CD4 T cells.fcs,186553,143,112,7,124826,79,75,10,8092,14,11,1,30943,26,26,3,2881,6,6,0,5143,2,3,0,306,0,2,0,339,5,2,2
H39_NC_Time_Point_180_CD4 T cells.fcs,281569,128,131,14,116715,57,59,2,7227,4,4,0,12211,6,6,0,6062,3,3,0,11984,6,6,0,516,0,0,0,205,0,0,0
H39_HBsAg_Time_Point_180_CD4 T cells.fcs,337002,304,152,13,139308,136,133,20,11002,8,10,0,17604,11,37,2,7392,21,5,0,14096,46,21,5,709,3,4,0,309,1,6,0
H40_NC_Time_Point_180_CD4 T cells.fcs,244835,110,104,12,139864,70,66,3,6433,3,3,0,27570,13,13,1,8346,4,4,0,8873,4,3,1,434,0,0,0,427,0,0,0
H40_HBsAg_Time_Point_180_CD4 T cells.fcs,293747,242,119,11,170434,168,100,23,7005,17,5,0,30740,41,18,8,9837,14,11,7,10323,37,50,8,439,2,2,0,430,4,2,3
H41_NC_Time_Point_180_CD4 T cells.fcs,277495,130,133,10,91673,36,38,7,5977,2,2,1,14334,7,7,0,12058,5,5,1,12411,6,6,0,849,0,0,0,419,1,0,0
H41_HBsAg_Time_Point_180_CD4 T cells.fcs,266389,200,96,3,86649,57,77,5,6470,8,4,1,14491,13,13,1,11707,18,4,1,11056,10,9,0,939,5,1,0,489,5,0,0
H42_NC_Time_Point_180_CD4 T cells.fcs,180679,76,75,13,158492,68,68,12,7446,4,4,0,42826,15,15,5,6228,3,3,0,11189,6,6,0,612,0,0,0,592,0,0,0
H42_HBsAg_Time_Point_180_CD4 T cells.fcs,156956,116,53,4,142689,74,89,9,7107,9,1,0,34695,16,15,0,5541,4,0,1,9675,4,5,1,703,2,1,0,569,0,1,0
H02_NC_Time_Point_365_CD4 T cells.fcs,286930,124,123,18,121392,55,52,7,8489,3,3,1,41151,20,21,0,11278,5,4,1,11096,7,6,0,1457,1,1,0,778,0,0,0
H02_HBsAg_Time_Point_365_CD4 T cells.fcs,356635,1965,584,158,334480,114,132,11,47889,173,100,28,44338,43,35,8,356635,116,320,14,19173,14,21,0,47889,60,42,6,2581,6,8,0
H03_NC_Time_Point_365_CD4 T cells.fcs,99274,44,46,5,96264,45,42,3,4306,2,2,0,19043,9,10,0,5618,3,3,0,11375,6,6,0,786,0,0,0,587,0,0,0
H03_HBsAg_Time_Point_365_CD4 T cells.fcs,89999,40,41,6,84446,43,95,1,3527,0,3,1,16035,29,15,0,4959,2,5,0,9641,11,7,0,713,2,3,0,571,0,0,0
H04_NC_Time_Point_365_CD4 T cells.fcs,120100,57,56,3,211770,102,100,10,9352,5,4,0,45186,20,21,3,4592,1,1,1,20830,10,10,0,902,0,0,0,721,0,0,0
H04_PC_Time_Point_365_CD4 T cells.fcs,7995,17,7272,21,16290,64,13262,170,318,0,296,0,3773,6,3431,12,417,3,199,1,2400,11,1093,0,76,0,50,0,291,0,211,0
H04_HBsAg_Time_Point_365_CD4 T cells.fcs,122851,80,80,1,212991,131,262,20,9450,7,3,0,48167,32,33,2,4918,4,0,1,21512,14,16,0,998,2,1,1,909,0,1,0
H06_NC_Time_Point_365_CD4 T cells.fcs,173155,77,80,9,227168,94,102,9,10709,3,3,2,50391,21,21,4,6186,3,3,0,15397,8,8,0,629,0,0,0,834,0,0,0
H06_HBsAg_Time_Point_365_CD4 T cells.fcs,97149,51,25,4,133069,27,89,12,5403,8,3,1,24387,6,16,3,3635,1,4,1,8491,12,8,1,331,1,0,1,405,0,1,0
H07_NC_Time_Point_365_CD4 T cells.fcs,165333,71,72,10,195648,89,80,12,8797,4,4,0,41116,19,18,2,3673,1,1,0,11891,4,4,2,812,0,0,0,951,0,0,0
H07_PC_Time_Point_365_CD4 T cells.fcs,17610,5,16052,27,11058,7,9894,22,324,0,299,0,2408,0,2252,3,908,0,587,0,2374,0,1611,0,85,0,63,0,290,0,201,0
H07_HBsAg_Time_Point_365_CD4 T cells.fcs,165909,116,60,7,202285,100,103,13,8931,8,8,1,44433,20,28,1,3722,2,5,2,12262,21,8,0,948,0,3,1,1100,1,3,0
H08_NC_Time_Point_365_CD4 T cells.fcs,210284,103,106,2,152800,79,77,2,6633,3,3,0,22896,11,12,0,2709,1,1,0,15394,8,8,0,236,0,0,0,474,0,0,0
H08_HBsAg_Time_Point_365_CD4 T cells.fcs,241534,204,142,2,176686,136,196,7,8413,5,6,0,30255,36,53,3,3512,4,2,0,17245,26,4,0,384,5,1,1,609,6,0,0
H10_NC_Time_Point_365_CD4 T cells.fcs,396059,188,182,14,96889,44,42,6,8747,4,4,0,19558,8,8,2,11863,5,5,1,14349,6,7,0,912,0,0,0,466,0,0,0
H10_HBsAg_Time_Point_365_CD4 T cells.fcs,4.16E+05,194,188,11,105275,61,60,8,7844,7,8,1,20900,12,12,2,12131,12,10,1,14841,14,14,0,872,1,1,0,536,0,3,0
H11_NC_Time_Point_365_CD4 T cells.fcs,267157,124,133,7,182395,84,82,8,10316,5,5,0,32896,15,14,2,12042,5,6,0,19640,9,10,0,1282,0,1,0,918,0,0,0
H11_HBsAg_Time_Point_365_CD4 T cells.fcs,314839,192,149,7,216856,115,138,14,12075,7,7,1,39622,11,17,1,14094,7,11,1,22619,25,11,0,1618,3,5,0,1050,1,2,0
H13_NC_Time_Point_365_CD4 T cells.fcs,380846,181,186,5,145529,76,68,3,18167,6,7,2,35859,11,11,7,12561,6,6,0,11559,6,6,0,781,0,0,0,429,0,0,0
H13_HBsAg_Time_Point_365_CD4 T cells.fcs,364385,316,172,15,143524,166,157,11,19373,19,10,1,37076,22,8,2,11990,18,9,1,10652,39,14,1,885,0,1,0,463,10,0,0
H14_NC_Time_Point_365_R_CD4 T cells.fcs,20885,11,10,0,5625,3,3,0,331,1,1,0,1027,1,1,0,168,0,0,0,360,0,0,0,15,0,0,0,10,0,0,0
H14_HBsAg_Time_Point_365_R_CD4 T cells.fcs,31244,11,4,1,9792,9,5,0,513,0,0,0,1650,5,0,0,205,1,3,1,739,2,7,0,10,0,0,0,23,2,0,1
H17_NC_Time_Point_365_CD4 T cells.fcs,349102,162,176,1,152368,65,65,13,9004,4,5,0,19306,10,10,0,19821,8,10,0,18114,10,9,0,1425,1,1,0,599,0,0,0
H17_HBsAg_Time_Point_365_CD4 T cells.fcs,311831,179,129,4,143899,67,113,10,5531,7,7,0,13215,9,16,3,17396,15,21,1,16048,31,30,0,872,0,4,0,360,0,1,0
H18_NC_Time_Point_365_CD4 T cells.fcs,50617,23,24,2,23116,11,12,0,982,1,1,0,2422,1,1,0,1078,1,1,0,2125,1,1,0,114,0,0,0,64,0,0,0
H18_HBsAg_Time_Point_365_CD4 T cells.fcs,41955,31,20,0,18288,7,12,0,795,0,0,0,2024,2,1,0,895,4,5,0,1603,3,2,0,125,0,0,0,58,0,0,0
H19_NC_Time_Point_365_CD4 T cells.fcs,108452,51,52,1,110470,58,55,4,3647,2,1,0,20125,9,9,1,5633,3,3,0,12301,6,6,0,718,0,0,0,660,0,0,0
H19_HBsAg_Time_Point_365_CD4 T cells.fcs,144218,96,66,5,171636,78,149,7,5293,8,3,1,31771,33,23,2,7441,6,2,0,19355,19,8,0,1216,8,0,0,1142,5,0,0
H20_NC_Time_Point_365_CD4 T cells.fcs,268800,117,122,17,149202,63,61,10,9361,5,5,0,28976,15,13,0,13241,7,7,0,16715,9,8,0,1507,1,1,0,1083,1,1,0
H20_HBsAg_Time_Point_365_CD4 T cells.fcs,292811,196,129,14,173184,83,125,13,10733,12,9,0,31813,26,17,1,14097,9,1,0,17580,13,5,0,1715,6,3,0,974,13,0,2
H21_NC_Time_Point_365_CD4 T cells.fcs,221874,1083,97,15,144758,63,69,4,4707,2,2,0,14105,6,6,1,8499,3,3,1,10944,5,5,0,349,0,0,0,238,0,0,0
H21_HBsAg_Time_Point_365_CD4 T cells.fcs,284087,1656,109,14,188268,88,95,6,5945,6,4,1,18125,2,7,0,10121,16,6,0,13113,13,12,3,417,1,2,0,243,2,1,0
H22_NC_Time_Point_365_CD4 T cells.fcs,248947,113,114,14,53280,24,21,4,2258,1,1,0,7296,3,4,0,6508,3,2,0,7031,5,4,0,109,0,0,0,121,0,0,0
H22_HBsAg_Time_Point_365_CD4 T cells.fcs,4.45E+05,348,123,15,93367,57,65,6,4768,1,3,0,12433,12,14,1,12566,17,11,0,11609,14,11,0,337,10,7,1,242,2,2,1
H23_NC_Time_Point_365_CD4 T cells.fcs,203370,94,103,6,82321,34,39,4,4629,2,2,0,17475,9,8,1,11682,6,6,0,11518,5,6,0,1760,1,1,0,886,0,0,0
H23_HBsAg_Time_Point_365_CD4 T cells.fcs,4.73E+05,349,204,20,188343,93,137,13,15332,6,20,0,39548,32,18,2,26151,52,25,3,23151,46,37,0,4207,11,14,0,1667,17,3,1
H24_NC_Time_Point_365_CD4 T cells.fcs,175342,89,92,0,160584,72,77,5,12967,6,7,0,33842,14,14,3,9234,4,5,0,12377,6,6,0,1510,1,1,0,599,0,0,0
H24_HBsAg_Time_Point_365_CD4 T cells.fcs,213288,261,142,3,191730,75,291,11,15213,30,26,2,36111,21,38,2,11552,41,8,1,13818,18,11,0,1859,10,2,0,588,1,9,0
H25_NC_Time_Point_365_CD4 T cells.fcs,182570,92,86,2,96286,48,49,1,3786,2,2,0,18687,9,9,0,11984,6,6,0,12146,5,6,0,779,0,0,0,901,0,0,0
H25_HBsAg_Time_Point_365_CD4 T cells.fcs,176017,240,123,3,93738,98,209,3,4330,3,2,0,17698,14,11,1,11585,30,10,0,10527,8,24,0,850,4,0,0,835,1,0,1
H26_NC_Time_Point_365_CD4 T cells.fcs,196306,97,100,1,211292,98,94,10,8117,4,4,0,27356,11,11,2,8012,5,4,0,21526,11,11,0,1622,1,1,0,1181,1,1,0
H26_HBsAg_Time_Point_365_CD4 T cells.fcs,97661,39,27,4,112801,65,22,5,4219,1,1,0,15052,6,7,0,3007,5,4,0,9436,6,6,0,790,1,3,0,654,3,0,0
H28_NC_Time_Point_365_CD4 T cells.fcs,132869,66,65,1,109253,41,46,10,4920,2,2,0,23461,9,11,2,4369,2,2,0,9156,5,5,0,756,0,0,0,693,0,0,0
H28_PC_Time_Point_365_CD4 T cells.fcs,60621,96,55453,608,37298,317,25893,912,3051,14,2578,23,12531,131,9242,239,11768,10,9911,6,16042,100,9062,1,2218,0,1539,0,5930,0,3884,0
H28_HBsAg_Time_Point_365_CD4 T cells.fcs,157935,118,78,1,133968,107,137,20,5264,3,9,1,27239,58,18,5,5463,19,8,1,10937,22,73,0,700,2,2,1,1032,0,6,0
H29_NC_Time_Point_365_CD4 T cells.fcs,107735,56,52,1,95371,43,46,3,4532,1,1,1,22246,8,8,3,4546,2,2,0,13380,7,7,0,684,0,0,0,459,0,0,0
H29_HBsAg_Time_Point_365_CD4 T cells.fcs,157487,140,110,12,144254,120,194,14,7028,11,7,0,34919,48,51,6,7025,14,5,2,18274,28,18,0,1161,2,1,0,747,3,2,1
